student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class
1,1,1,Always answers correctly,Always predicts to answer correctly,2,97.46,C
1,1,2,Always answers correctly,Always predicts to answer correctly,2,90.79,C
1,1,3,Always answers correctly,Always predicts to answer correctly,2,98.25,C
1,1,4,Always answers correctly,Always predicts to answer correctly,2,95.93,C
1,1,5,Always answers correctly,Always predicts to answer correctly,2,92.4,C
1,1,6,Always answers correctly,Always predicts to answer correctly,2,96.86,C
1,1,7,Always answers correctly,Always predicts to answer correctly,2,93.29,C
1,1,8,Always answers correctly,Always predicts to answer correctly,2,97.54,C
1,1,9,Always answers correctly,Always predicts to answer correctly,2,99.19,C
1,1,10,Always answers correctly,Always predicts to answer correctly,2,94.83,C
2,1,1,Always answers correctly,Always predicts to answer partially correctly,1,90.09,C
2,1,2,Always answers correctly,Always predicts to answer partially correctly,1,99.42,C
2,1,3,Always answers correctly,Always predicts to answer partially correctly,1,94.92,C
2,1,4,Always answers correctly,Always predicts to answer partially correctly,1,97.16,C
2,1,5,Always answers correctly,Always predicts to answer partially correctly,1,98.13,C
2,1,6,Always answers correctly,Always predicts to answer partially correctly,1,92.4,C
2,1,7,Always answers correctly,Always predicts to answer partially correctly,1,91.2,C
2,1,8,Always answers correctly,Always predicts to answer partially correctly,1,98.24,C
2,1,9,Always answers correctly,Always predicts to answer partially correctly,1,93.46,C
2,1,10,Always answers correctly,Always predicts to answer partially correctly,1,94.45,C
3,1,1,Always answers correctly,Always predicts to answer incorrectly,0,96.04,C
3,1,2,Always answers correctly,Always predicts to answer incorrectly,0,96.04,C
3,1,3,Always answers correctly,Always predicts to answer incorrectly,0,94.52,C
3,1,4,Always answers correctly,Always predicts to answer incorrectly,0,91.02,C
3,1,5,Always answers correctly,Always predicts to answer incorrectly,0,91.09,C
3,1,6,Always answers correctly,Always predicts to answer incorrectly,0,94.35,C
3,1,7,Always answers correctly,Always predicts to answer incorrectly,0,96.36,C
3,1,8,Always answers correctly,Always predicts to answer incorrectly,0,90.41,C
3,1,9,Always answers correctly,Always predicts to answer incorrectly,0,93.18,C
3,1,10,Always answers correctly,Always predicts to answer incorrectly,0,94.63,C
4,1,1,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,90.68,C
4,1,2,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,99.04,C
4,1,3,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,92.73,C
4,1,4,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,1,97.94,C
4,1,5,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,1,92.51,C
4,1,6,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,97.61,C
4,1,7,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,95.27,C
4,1,8,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,92.97,C
4,1,9,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,90.83,C
4,1,10,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,1,91.91,C
5,1,1,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,0,92.48,C
5,1,2,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,97.46,C
5,1,3,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,0,98.17,C
5,1,4,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,98.16,C
5,1,5,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,91.52,C
5,1,6,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,96.12,C
5,1,7,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,91.1,C
5,1,8,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,90.4,C
5,1,9,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,97.93,C
5,1,10,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,99.94,C
6,1,1,Always answers correctly,Always predicts to answer partially correctly but occasionally predicts to answer correctly,2,97.25,C
6,1,2,Always answers correctly,Always predicts to answer partially correctly but occasionally predicts to answer correctly,2,97.29,C
