student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class
1,1,1,Always answers correctly,Always predicts to answer correctly,2,90.7,C
1,1,2,Always answers correctly,Always predicts to answer correctly,2,98.64,C
1,1,3,Always answers correctly,Always predicts to answer correctly,2,94.92,C
1,1,4,Always answers correctly,Always predicts to answer correctly,2,90.68,C
1,1,5,Always answers correctly,Always predicts to answer correctly,2,94.22,C
1,1,6,Always answers correctly,Always predicts to answer correctly,2,98.66,C
1,1,7,Always answers correctly,Always predicts to answer correctly,2,97.89,C
1,1,8,Always answers correctly,Always predicts to answer correctly,2,90.9,C
1,1,9,Always answers correctly,Always predicts to answer correctly,2,93.08,C
1,1,10,Always answers correctly,Always predicts to answer correctly,2,95.87,C
2,1,1,Always answers correctly,Always predicts to answer partially correctly,1,95.21,C
2,1,2,Always answers correctly,Always predicts to answer partially correctly,1,97.47,C
2,1,3,Always answers correctly,Always predicts to answer partially correctly,1,99.28,C
2,1,4,Always answers correctly,Always predicts to answer partially correctly,1,99.39,C
2,1,5,Always answers correctly,Always predicts to answer partially correctly,1,98.14,C
2,1,6,Always answers correctly,Always predicts to answer partially correctly,1,97.9,C
2,1,7,Always answers correctly,Always predicts to answer partially correctly,1,93.51,C
2,1,8,Always answers correctly,Always predicts to answer partially correctly,1,93.21,C
2,1,9,Always answers correctly,Always predicts to answer partially correctly,1,92.52,C
2,1,10,Always answers correctly,Always predicts to answer partially correctly,1,94.14,C
3,1,1,Always answers correctly,Always predicts to answer incorrectly,0,98.64,C
3,1,2,Always answers correctly,Always predicts to answer incorrectly,0,90.98,C
3,1,3,Always answers correctly,Always predicts to answer incorrectly,0,94.4,C
3,1,4,Always answers correctly,Always predicts to answer incorrectly,0,98.28,C
3,1,5,Always answers correctly,Always predicts to answer incorrectly,0,94.48,C
3,1,6,Always answers correctly,Always predicts to answer incorrectly,0,97.85,C
3,1,7,Always answers correctly,Always predicts to answer incorrectly,0,96.66,C
3,1,8,Always answers correctly,Always predicts to answer incorrectly,0,94.98,C
3,1,9,Always answers correctly,Always predicts to answer incorrectly,0,90.36,C
3,1,10,Always answers correctly,Always predicts to answer incorrectly,0,94.67,C
4,1,1,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,98.26,C
4,1,2,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,1,94.33,C
4,1,3,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,95.32,C
4,1,4,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,98.79,C
4,1,5,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,97.97,C
4,1,6,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,94.13,C
4,1,7,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,95.61,C
4,1,8,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,90.11,C
4,1,9,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,97.61,C
4,1,10,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer partially correctly,2,98.94,C
5,1,1,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,95.27,C
5,1,2,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,95.16,C
5,1,3,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,91.69,C
5,1,4,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,97.17,C
5,1,5,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,0,98.75,C
5,1,6,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,0,93.85,C
5,1,7,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,97.86,C
5,1,8,Always answers correctly,Always predicts to answer correctly but occasionally predicts to answer incorrectly,2,98.77,C
